road_id,order,lat,lon
br-376,547,-25.960420273161066,-48.899812977987324
br-376,548,-25.960292925652343,-48.89997498162153
br-376,549,-25.96016100803553,-48.900133260305104
br-376,550,-25.960017960942096,-48.90028145687866
br-376,551,-25.95986534995859,-48.90041972268036
br-376,552,-25.959701981516645,-48.90054479001244
br-376,553,-25.959524604300093,-48.90064832021785
br-376,554,-25.95933570282761,-48.900730065978514
br-376,555,-25.959138964366396,-48.900790435931654
br-376,556,-25.958936561328105,-48.90082855288244
br-376,557,-25.95873152836084,-48.900846472550704
br-376,558,-25.958525534230734,-48.9008502
br-376,559,-25.958319469761516,-48.9008502
br-376,560,-25.95811340646039,-48.90084956666708
br-376,561,-25.9579073433931,-48.90084880655388
br-376,562,-25.957701280909564,-48.900847959215646
br-376,563,-25.95749522612697,-48.90084596120553
br-376,564,-25.957289171344375,-48.90084396319543
br-376,565,-25.95708311656178,-48.900841965185315
br-376,566,-25.956877061779185,-48.90083996717521
br-376,567,-25.956671007288815,-48.90083825812553
br-376,568,-25.956464956968865,-48.90084067289712
br-376,569,-25.956258906648912,-48.900843087668704
br-376,570,-25.95605285632896,-48.90084550244029
br-376,571,-25.955846907131615,-48.90085206230798
br-376,572,-25.955641350501942,-48.90086548068724
br-376,573,-25.955437192993486,-48.90089205838809
br-376,574,-25.955235315942517,-48.90093275281924
br-376,575,-25.955036450636147,-48.90098652228998
br-376,576,-25.95484051722364,-48.901049908597614
br-376,577,-25.95465223148322,-48.90113364058331
br-376,578,-25.954466396608222,-48.901222675826965
br-376,579,-25.954286909940134,-48.9013237076441
br-376,580,-25.954113856209254,-48.90143544501881
br-376,581,-25.953945385451803,-48.90155400930256
