geometry,road_id
POINT (-47.7617982 -22.027906),sao_carlos
POINT (-47.7611303 -22.0275654),sao_carlos
POINT (-47.7605174 -22.0272484),sao_carlos
POINT (-47.759867 -22.0269152),sao_carlos
POINT (-47.7592434 -22.0265957),sao_carlos
POINT (-47.7588778 -22.0264198),sao_carlos
POINT (-47.7572948 -22.0255899),sao_carlos
POINT (-47.7565572 -22.0252082),sao_carlos
POINT (-47.7564629 -22.0251599),sao_carlos
POINT (-47.7646413 -22.0293718),sao_carlos
POINT (-47.765682 -22.0299014),sao_carlos
POINT (-47.7667348 -22.0304384),sao_carlos
POINT (-47.7673615 -22.030765),sao_carlos
POINT (-47.7566222 -22.033726),sao_carlos
POINT (-47.7567007 -22.0336079),sao_carlos
POINT (-47.7567838 -22.0334985),sao_carlos
POINT (-47.7572 -22.0329018),sao_carlos
POINT (-47.7573028 -22.0327544),sao_carlos
POINT (-47.7576327 -22.0322671),sao_carlos
POINT (-47.7582067 -22.0314379),sao_carlos
POINT (-47.7583918 -22.0312452),sao_carlos
POINT (-47.7585755 -22.0310687),sao_carlos
POINT (-47.7586815 -22.0309817),sao_carlos
POINT (-47.7591924 -22.0305652),sao_carlos
POINT (-47.7592281 -22.0305366),sao_carlos
POINT (-47.7563771 -22.0335709),sao_carlos
POINT (-47.7561418 -22.0334177),sao_carlos
POINT (-47.7556385 -22.0330969),sao_carlos
POINT (-47.754681 -22.0324586),sao_carlos
POINT (-47.7541278 -22.0321012),sao_carlos
POINT (-47.7521874 -22.0308823),sao_carlos
POINT (-47.7507106 -22.0299231),sao_carlos
POINT (-47.7499314 -22.0294302),sao_carlos
POINT (-47.749699 -22.0292869),sao_carlos
POINT (-47.7565371 -22.0338534),sao_carlos
POINT (-47.7564961 -22.033918),sao_carlos
POINT (-47.7564324 -22.0340473),sao_carlos
POINT (-47.7563533 -22.0342556),sao_carlos
POINT (-47.7562641 -22.0344942),sao_carlos
POINT (-47.755952 -22.035311),sao_carlos
POINT (-47.7555674 -22.0363173),sao_carlos
POINT (-47.7553301 -22.0369608),sao_carlos
POINT (-47.7549552 -22.0379209),sao_carlos
POINT (-47.7549083 -22.0380353),sao_carlos
POINT (-47.7548459 -22.0381422),sao_carlos
POINT (-47.754738 -22.0382292),sao_carlos
POINT (-47.7546266 -22.0383038),sao_carlos
POINT (-47.7545415 -22.0383461),sao_carlos
POINT (-47.7544416 -22.0383778),sao_carlos
POINT (-47.754288 -22.0383952),sao_carlos
POINT (-47.7541586 -22.038361),sao_carlos
POINT (-47.7540607 -22.038287),sao_carlos
POINT (-47.7539829 -22.038187),sao_carlos
POINT (-47.7538803 -22.038039),sao_carlos
POINT (-47.7537891 -22.0379334),sao_carlos
POINT (-47.7536148 -22.0377655),sao_carlos
POINT (-47.7534384 -22.0376307),sao_carlos
POINT (-47.7531836 -22.0374106),sao_carlos
POINT (-47.7530629 -22.0372913),sao_carlos
POINT (-47.7529972 -22.0372316),sao_carlos
POINT (-47.7529281 -22.0371819),sao_carlos
POINT (-47.7528812 -22.0371539),sao_carlos
POINT (-47.7528349 -22.0371409),sao_carlos
POINT (-47.7527967 -22.037139),sao_carlos
POINT (-47.7527518 -22.0371471),sao_carlos
POINT (-47.7527236 -22.0371757),sao_carlos
POINT (-47.7527015 -22.0372068),sao_carlos
POINT (-47.7526874 -22.0372528),sao_carlos
POINT (-47.7526713 -22.0373578),sao_carlos
POINT (-47.7526559 -22.0374703),sao_carlos
POINT (-47.7526157 -22.0377365),sao_carlos
POINT (-47.7525996 -22.0378333),sao_carlos
POINT (-47.7525707 -22.0379222),sao_carlos
POINT (-47.7525399 -22.0379837),sao_carlos
POINT (-47.7524822 -22.0380577),sao_carlos
POINT (-47.7524279 -22.0380881),sao_carlos
POINT (-47.7523984 -22.0380968),sao_carlos
POINT (-47.7523112 -22.0381111),sao_carlos
POINT (-47.75222 -22.0381086),sao_carlos
POINT (-47.7521443 -22.0380956),sao_carlos
POINT (-47.752047 -22.0380689),sao_carlos
POINT (-47.7518968 -22.0380086),sao_carlos
POINT (-47.7517922 -22.0379421),sao_carlos
POINT (-47.751695 -22.0378544),sao_carlos
POINT (-47.7516051 -22.0377767),sao_carlos
POINT (-47.7515153 -22.037704),sao_carlos
POINT (-47.7514214 -22.0376406),sao_carlos
POINT (-47.7512953 -22.0375722),sao_carlos
POINT (-47.7511606 -22.0375088),sao_carlos
POINT (-47.7510674 -22.0374715),sao_carlos
POINT (-47.750946 -22.0374386),sao_carlos
POINT (-47.7508615 -22.0374392),sao_carlos
POINT (-47.7507931 -22.0374442),sao_carlos
POINT (-47.7507207 -22.0374616),sao_carlos
POINT (-47.7506737 -22.0374796),sao_carlos
POINT (-47.750486 -22.0375691),sao_carlos
POINT (-47.7502064 -22.0377059),sao_carlos
POINT (-47.7495633 -22.0380229),sao_carlos
POINT (-47.7487533 -22.0384213),sao_carlos
POINT (-47.7486393 -22.0384685),sao_carlos
POINT (-47.7567704 -22.0338248),sao_carlos
POINT (-47.757044 -22.0340001),sao_carlos
POINT (-47.7573686 -22.0341961),sao_carlos
POINT (-47.757563 -22.0342922),sao_carlos
